,Image,Labels
3430,train\Proliferate_DR\e23add229074.png,Proliferate_DR
2428,train\No_DR\9ac41b9a809e.png,No_DR
1770,train\No_DR\3f44d749cd0b.png,No_DR
2518,train\No_DR\a77eb914b383.png,No_DR
2532,train\No_DR\a8c9fcdbc0be.png,No_DR
2098,train\No_DR\6d9effbcde78.png,No_DR
3166,train\No_DR\ff1e940105f9.png,No_DR
1049,train\Moderate\a87f53bc984a.png,Moderate
3039,train\No_DR\eda1d75cbcf0.png,No_DR
806,train\Moderate\6987804eb464.png,Moderate
2130,train\No_DR\72c31aa48e2c.png,No_DR
3438,train\Proliferate_DR\e740af6ac6ea.png,Proliferate_DR
3016,train\No_DR\ea7e21bab610.png,No_DR
2657,train\No_DR\b7a1bb106051.png,No_DR
881,train\Moderate\812d5adafaf2.png,Moderate
1727,train\No_DR\3710ff45299c.png,No_DR
3442,train\Proliferate_DR\eaa0dfbd5024.png,Proliferate_DR
3562,train\Severe\7b49041cbf17.png,Severe
3056,train\No_DR\ef8c39eb9157.png,No_DR
3101,train\No_DR\f57cf3b6f48e.png,No_DR
1349,train\Moderate\f9e779a13204.png,Moderate
1392,train\No_DR\04efb1a284cc.png,No_DR
1499,train\No_DR\150fc7127582.png,No_DR
1661,train\No_DR\2d04cead4d3a.png,No_DR
2991,train\No_DR\e68bdd36e589.png,No_DR
1621,train\No_DR\26fc2358a38d.png,No_DR
388,train\Moderate\041f09eec1e8.png,Moderate
2836,train\No_DR\d2c5fb82fe5f.png,No_DR
1051,train\Moderate\a8e08e7fe016.png,Moderate
233,train\Mild\99132193eaa0.png,Mild
1202,train\Moderate\d144144a2f3f.png,Moderate
2162,train\No_DR\76e5b50f95a7.png,No_DR
2762,train\No_DR\c6a8f8f998a2.png,No_DR
1717,train\No_DR\35ac70c0d08f.png,No_DR
668,train\Moderate\46923eea9a4e.png,Moderate
1502,train\No_DR\15b21c80cc31.png,No_DR
2510,train\No_DR\a673193cd5a9.png,No_DR
1574,train\No_DR\1ee355480567.png,No_DR
3339,train\Proliferate_DR\8ac0c44bbf24.png,Proliferate_DR
3258,train\Proliferate_DR\4a7dc013e802.png,Proliferate_DR
1243,train\Moderate\da44f80b422b.png,Moderate
742,train\Moderate\57760be09c03.png,Moderate
2828,train\No_DR\d1cf31577a59.png,No_DR
2440,train\No_DR\9c6512166557.png,No_DR
3241,train\Proliferate_DR\3b185ac445d0.png,Proliferate_DR
3418,train\Proliferate_DR\d51b3fe0fa1b.png,Proliferate_DR
2268,train\No_DR\84b88e8d3bca.png,No_DR
2309,train\No_DR\8acdf12f412a.png,No_DR
3482,train\Severe\0f96c358a250.png,Severe
944,train\Moderate\913b1890ed1e.png,Moderate
224,train\Mild\94111ed3d276.png,Mild
740,train\Moderate\5723d0ec895e.png,Moderate
1328,train\Moderate\f23902998c21.png,Moderate
1230,train\Moderate\d88806d9ece9.png,Moderate
1322,train\Moderate\efff2f1a35f5.png,Moderate
1183,train\Moderate\caec68f11c86.png,Moderate
2332,train\No_DR\8e7981855125.png,No_DR
1736,train\No_DR\388279491b5d.png,No_DR
2886,train\No_DR\d91635f380b4.png,No_DR
343,train\Mild\e96bd80a8a53.png,Mild
475,train\Moderate\1b4625877527.png,Moderate
3196,train\Proliferate_DR\165cd2070ebd.png,Proliferate_DR
1519,train\No_DR\17f6c7072f61.png,No_DR
2753,train\No_DR\c5a0e84e955d.png,No_DR
846,train\Moderate\76fe19ff64fb.png,Moderate
2756,train\No_DR\c5bec7f1e5f3.png,No_DR
194,train\Mild\7ccb267fd394.png,Mild
1211,train\Moderate\d28bd830c171.png,Moderate
1914,train\No_DR\51e656e5a541.png,No_DR
2251,train\No_DR\8344c783da65.png,No_DR
537,train\Moderate\2776d70724d3.png,Moderate
3338,train\Proliferate_DR\887c26fc0e1f.png,Proliferate_DR
2090,train\No_DR\6ccfdb031184.png,No_DR
353,train\Mild\f0c13be90519.png,Mild
482,train\Moderate\1c5e6cdc7ee1.png,Moderate
124,train\Mild\523b3f0fc646.png,Mild
1815,train\No_DR\44a4d04162cc.png,No_DR
1071,train\Moderate\acc9f29538c4.png,Moderate
3195,train\Proliferate_DR\1638404f385c.png,Proliferate_DR
26,train\Mild\10f36b0239fb.png,Mild
914,train\Moderate\89b044cbaf85.png,Moderate
996,train\Moderate\9e5ec293267c.png,Moderate
422,train\Moderate\0eff8eacb2f7.png,Moderate
583,train\Moderate\31b5d6fb0256.png,Moderate
3161,train\No_DR\fe3f62695b2d.png,No_DR
3246,train\Proliferate_DR\3ccf96c1dd6d.png,Proliferate_DR
826,train\Moderate\70ed3ec68b94.png,Moderate
2577,train\No_DR\ad6b07d5c338.png,No_DR
1930,train\No_DR\53c874dbc594.png,No_DR
1906,train\No_DR\50ddd7d976df.png,No_DR
508,train\Moderate\2131aa3a1e6f.png,Moderate
190,train\Mild\7a3ea1779b13.png,Mild
1100,train\Moderate\b5c80d0ed0ff.png,Moderate
1097,train\Moderate\b468ebf5cb11.png,Moderate
1125,train\Moderate\bca2bdc15fc5.png,Moderate
503,train\Moderate\203275daf46d.png,Moderate
1603,train\No_DR\240b25a7debe.png,No_DR
1170,train\Moderate\c8823cdaf7fa.png,Moderate
522,train\Moderate\23fca0693e2a.png,Moderate
546,train\Moderate\291e2ff3d834.png,Moderate
1623,train\No_DR\276b14f72328.png,No_DR
2508,train\No_DR\a646c084928c.png,No_DR
3449,train\Proliferate_DR\ef26625121b3.png,Proliferate_DR
1419,train\No_DR\08c60c647673.png,No_DR
1662,train\No_DR\2d07162a13b1.png,No_DR
1626,train\No_DR\2821998fc002.png,No_DR
2674,train\No_DR\b9c7c5182075.png,No_DR
1512,train\No_DR\165c548185f8.png,No_DR
2561,train\No_DR\ab7991df166b.png,No_DR
166,train\Mild\6762b2b48ea5.png,Mild
2318,train\No_DR\8c29a76fa08c.png,No_DR
884,train\Moderate\82910bba4753.png,Moderate
1593,train\No_DR\2209daf71aab.png,No_DR
2088,train\No_DR\6c9c902a97de.png,No_DR
1843,train\No_DR\496155f71d0a.png,No_DR
1226,train\Moderate\d83c3efade75.png,Moderate
2738,train\No_DR\c365c598ad4e.png,No_DR
3521,train\Severe\457c7c927e27.png,Severe
95,train\Mild\40e9b5630438.png,Mild
545,train\Moderate\290ecdba359f.png,Moderate
579,train\Moderate\310c27067ac0.png,Moderate
25,train\Mild\107aea0d9289.png,Mild
2452,train\No_DR\9e7a63b2fc6a.png,No_DR
1162,train\Moderate\c6c2bad91f23.png,Moderate
1724,train\No_DR\3694e8c8e09a.png,No_DR
306,train\Mild\ca7140ecf389.png,Mild
1102,train\Moderate\b6304c545f95.png,Moderate
1586,train\No_DR\201f882365d3.png,No_DR
929,train\Moderate\8d3d67661620.png,Moderate
559,train\Moderate\2b21d293fdf2.png,Moderate
239,train\Mild\a01024054596.png,Mild
1491,train\No_DR\13c191b59ed0.png,No_DR
3413,train\Proliferate_DR\d1a24527a15d.png,Proliferate_DR
2709,train\No_DR\beb2ad14fd2d.png,No_DR
1192,train\Moderate\cd29c88c9e36.png,Moderate
2102,train\No_DR\6df8b7b6e837.png,No_DR
28,train\Mild\111898ab463d.png,Mild
62,train\Mild\2a08ed6bbcbc.png,Mild
456,train\Moderate\17188c13e635.png,Moderate
50,train\Mild\22325552a4e3.png,Mild
1381,train\No_DR\022f820027b8.png,No_DR
2060,train\No_DR\6852f4531591.png,No_DR
1850,train\No_DR\4a589edaea60.png,No_DR
2821,train\No_DR\d16e39b9d6f0.png,No_DR
3240,train\Proliferate_DR\3ac3fbfca7d4.png,Proliferate_DR
2426,train\No_DR\9ab18a4a957f.png,No_DR
3075,train\No_DR\f252046c0fe6.png,No_DR
2930,train\No_DR\dee1031a76ae.png,No_DR
2984,train\No_DR\e5f73f2855c0.png,No_DR
1973,train\No_DR\5a93c0f783c4.png,No_DR
2276,train\No_DR\86d58f850a0c.png,No_DR
1119,train\Moderate\b99c825b93c5.png,Moderate
330,train\Mild\da1fb35f5df9.png,Mild
172,train\Mild\6c6efb6b1358.png,Mild
204,train\Mild\83e529e95b0e.png,Mild
1909,train\No_DR\519c6e8f78dc.png,No_DR
3023,train\No_DR\eb6b1f1c09db.png,No_DR
1235,train\Moderate\d952dbfb0fe4.png,Moderate
692,train\Moderate\4c78d9d18da9.png,Moderate
3355,train\Proliferate_DR\9a496b1e20f9.png,Proliferate_DR
1976,train\No_DR\5b1c4cefeb24.png,No_DR
3483,train\Severe\14e3f84445f7.png,Severe
3491,train\Severe\1b495ac025b7.png,Severe
67,train\Mild\2f2e1949ad56.png,Mild
972,train\Moderate\9904939ab83d.png,Moderate
3654,train\Severe\f64214bed40e.png,Severe
998,train\Moderate\9f1efb799b7b.png,Moderate
3571,train\Severe\8958a4d17b7e.png,Severe
3302,train\Proliferate_DR\6daef3e5ca22.png,Proliferate_DR
752,train\Moderate\59f3f70abddd.png,Moderate
2803,train\No_DR\cd8da43e3069.png,No_DR
2572,train\No_DR\ad029ba7fa8b.png,No_DR
165,train\Mild\66cd9c28e636.png,Mild
1435,train\No_DR\0a902c80d5da.png,No_DR
3461,train\Proliferate_DR\f72adcac5638.png,Proliferate_DR
1281,train\Moderate\e499434242cc.png,Moderate
350,train\Mild\eeb231c3ef1f.png,Mild
2472,train\No_DR\a0fd94e2ad76.png,No_DR
1739,train\No_DR\38f1901f214a.png,No_DR
2076,train\No_DR\6b664ed2a938.png,No_DR
965,train\Moderate\97a5ad7548b7.png,Moderate
3643,train\Severe\e32a359be36d.png,Severe
3649,train\Severe\ed6704e3b72e.png,Severe
1013,train\Moderate\a15590a7d774.png,Moderate
2540,train\No_DR\a9b3177f01c0.png,No_DR
514,train\Moderate\23148a40ecb0.png,Moderate
3431,train\Proliferate_DR\e32dc722eca5.png,Proliferate_DR
728,train\Moderate\530d78467615.png,Moderate
3028,train\No_DR\ec363f48867b.png,No_DR
1324,train\Moderate\f0c0f7b5e820.png,Moderate
1448,train\No_DR\0cb6b898389f.png,No_DR
1885,train\No_DR\4e8585a96739.png,No_DR
2798,train\No_DR\cd1c98ec48b1.png,No_DR
955,train\Moderate\932181b93b2f.png,Moderate
1688,train\No_DR\3232b34cbe99.png,No_DR
3076,train\No_DR\f26b02ead915.png,No_DR
2204,train\No_DR\7d0a871c45db.png,No_DR
289,train\Mild\c0f15fe3b4b7.png,Mild
2330,train\No_DR\8e6df9eedcd8.png,No_DR
2019,train\No_DR\61a62b1dcc36.png,No_DR
2501,train\No_DR\a528be013a04.png,No_DR
2116,train\No_DR\6fe67fd7f5d1.png,No_DR
2167,train\No_DR\77b7b71ebcc3.png,No_DR
684,train\Moderate\4a0bba3b7d83.png,Moderate
712,train\Moderate\5173d54fc214.png,Moderate
1086,train\Moderate\b0eeae01b8ab.png,Moderate
3539,train\Severe\6061f5b7378d.png,Severe
1560,train\No_DR\1d46f1326394.png,No_DR
1272,train\Moderate\e265c870f9b3.png,Moderate
3171,train\No_DR\ff631653374e.png,No_DR
2061,train\No_DR\68987fb159ab.png,No_DR
1443,train\No_DR\0b8bdec9d869.png,No_DR
1109,train\Moderate\b89938407ee6.png,Moderate
1972,train\No_DR\5a444c32cd9a.png,No_DR
3572,train\Severe\8a234d68b27e.png,Severe
1916,train\No_DR\5257cb536da2.png,No_DR
2820,train\No_DR\d160ebef4117.png,No_DR
1194,train\Moderate\cd4e7f9fa1a9.png,Moderate
2592,train\No_DR\aeb6f4fd2eed.png,No_DR
2445,train\No_DR\9d62478042b6.png,No_DR
761,train\Moderate\5c8482926a08.png,Moderate
1608,train\No_DR\24f3e70f0419.png,No_DR
3574,train\Severe\8b76c3c5cb3e.png,Severe
2311,train\No_DR\8b079e79035f.png,No_DR
3278,train\Proliferate_DR\60f15dd68d30.png,Proliferate_DR
138,train\Mild\58184d6fd087.png,Mild
1744,train\No_DR\3a4cfea0a766.png,No_DR
592,train\Moderate\354b8911d6ed.png,Moderate
1581,train\No_DR\1f9ccda4ddf2.png,No_DR
1222,train\Moderate\d6283ded6aea.png,Moderate
3136,train\No_DR\fa7fa797c650.png,No_DR
126,train\Mild\531b39880c32.png,Mild
2,train\Mild\0124dffecf29.png,Mild
3540,train\Severe\6089fa333013.png,Severe
3619,train\Severe\c31651ea04c6.png,Severe
2603,train\No_DR\afc744fad65e.png,No_DR
372,train\Moderate\00b74780d31d.png,Moderate
2297,train\No_DR\894a37fc3738.png,No_DR
750,train\Moderate\599b89048034.png,Moderate
281,train\Mild\bb9a3d835a94.png,Mild
795,train\Moderate\66bae1ba227f.png,Moderate
1031,train\Moderate\a4d41c495666.png,Moderate
2875,train\No_DR\d7e5fe5245e0.png,No_DR
425,train\Moderate\0fd16b64697e.png,Moderate
1970,train\No_DR\5a179c123fd8.png,No_DR
3313,train\Proliferate_DR\785777558f05.png,Proliferate_DR
2903,train\No_DR\da9fe02dead3.png,No_DR
1046,train\Moderate\a8652b2de23f.png,Moderate
2933,train\No_DR\df6d13d04da1.png,No_DR
286,train\Mild\c027e5482e8c.png,Mild
2069,train\No_DR\6a2642131e4a.png,No_DR
3537,train\Severe\5b3e7197ac1c.png,Severe
2184,train\No_DR\7a42443ed106.png,No_DR
810,train\Moderate\6b7cf869622a.png,Moderate
2390,train\No_DR\9688c6ef5dc5.png,No_DR
553,train\Moderate\2a3a1ed1c285.png,Moderate
2207,train\No_DR\7d94a000c2d0.png,No_DR
2070,train\No_DR\6a2c3f4ef329.png,No_DR
1067,train\Moderate\ac2c814949f9.png,Moderate
829,train\Moderate\711d1480d2e3.png,Moderate
566,train\Moderate\2cceb07ff706.png,Moderate
1118,train\Moderate\b99794a0beed.png,Moderate
79,train\Mild\35d6c4c50072.png,Mild
2720,train\No_DR\bff51afc76d4.png,No_DR
1642,train\No_DR\2a2274bcb00a.png,No_DR
920,train\Moderate\8a759f94613a.png,Moderate
2745,train\No_DR\c446985355f1.png,No_DR
2576,train\No_DR\ad312ca98202.png,No_DR
1841,train\No_DR\495106ae3b68.png,No_DR
465,train\Moderate\18f1f979d30d.png,Moderate
3556,train\Severe\7525ebb3434d.png,Severe
3229,train\Proliferate_DR\2fde69f20585.png,Proliferate_DR
3587,train\Severe\9bf060db8376.png,Severe
2016,train\No_DR\6110ecb3bb1c.png,No_DR
1297,train\Moderate\e7fc93ac5b6d.png,Moderate
3176,train\Proliferate_DR\0243404e8a00.png,Proliferate_DR
2705,train\No_DR\be6cbf6e5b10.png,No_DR
2842,train\No_DR\d332d7b8a26e.png,No_DR
2739,train\No_DR\c373b73a80c8.png,No_DR
257,train\Mild\abdb365cacbc.png,Mild
71,train\Mild\30cab14951ac.png,Mild
2858,train\No_DR\d667af5742f6.png,No_DR
2956,train\No_DR\e251bdf05b85.png,No_DR
2129,train\No_DR\72a867980067.png,No_DR
1648,train\No_DR\2b2f5a0f880d.png,No_DR
510,train\Moderate\222d0ac042b4.png,Moderate
1233,train\Moderate\d9311f7497cb.png,Moderate
2168,train\No_DR\77e15f213b04.png,No_DR
1293,train\Moderate\e756495c11cb.png,Moderate
3385,train\Proliferate_DR\ba4d2c4b3039.png,Proliferate_DR
651,train\Moderate\43fb6eda9b97.png,Moderate
2266,train\No_DR\84b4da14bc23.png,No_DR
363,train\Mild\fca931da5c5e.png,Mild
2249,train\No_DR\830e297965a1.png,No_DR
108,train\Mild\4cae247d9909.png,Mild
1601,train\No_DR\2399d68d407f.png,No_DR
3095,train\No_DR\f4df3d86688d.png,No_DR
900,train\Moderate\869bbd3170cc.png,Moderate
76,train\Mild\3461dc601cc2.png,Mild
1562,train\No_DR\1da4a17c18c9.png,No_DR
2641,train\No_DR\b5e6ae31493c.png,No_DR
633,train\Moderate\40527a5e95dd.png,Moderate
2606,train\No_DR\b085caa513a8.png,No_DR
1822,train\No_DR\4554062fa836.png,No_DR
1209,train\Moderate\d25b8a8ad3c4.png,Moderate
3114,train\No_DR\f71aca5a7dc3.png,No_DR
2302,train\No_DR\8a482c024fc2.png,No_DR
3052,train\No_DR\ef48780f5d5f.png,No_DR
1553,train\No_DR\1cb6961d141c.png,No_DR
1714,train\No_DR\3580a545016d.png,No_DR
3072,train\No_DR\f1979147aad4.png,No_DR
2944,train\No_DR\e0d229db881a.png,No_DR
3032,train\No_DR\ecad6845f630.png,No_DR
497,train\Moderate\1f07dae3cadb.png,Moderate
2907,train\No_DR\db52626d450c.png,No_DR
2371,train\No_DR\937bc1b924b1.png,No_DR
1292,train\Moderate\e724866f5084.png,Moderate
1556,train\No_DR\1d2472849dce.png,No_DR
1854,train\No_DR\4ab8c0cece7f.png,No_DR
3651,train\Severe\f092febbf5c0.png,Severe
2934,train\No_DR\df9cb3729eb1.png,No_DR
515,train\Moderate\23175b7ef453.png,Moderate
3156,train\No_DR\fdbc252813b1.png,No_DR
175,train\Mild\6ea07d19b4ce.png,Mild
2179,train\No_DR\79ade634c633.png,No_DR
571,train\Moderate\2e79041ef722.png,Moderate
732,train\Moderate\5486da4273d7.png,Moderate
2733,train\No_DR\c25e02b39c01.png,No_DR
3124,train\No_DR\f8d62557ad0c.png,No_DR
2656,train\No_DR\b7983cb3f270.png,No_DR
1260,train\Moderate\e06d3d4733f0.png,Moderate
3374,train\Proliferate_DR\b37aae3c8fe1.png,Proliferate_DR
2462,train\No_DR\a06a63d866b2.png,No_DR
3647,train\Severe\e8d1c6c07cf2.png,Severe
3305,train\Proliferate_DR\6f923b60934b.png,Proliferate_DR
3239,train\Proliferate_DR\3a6e9730b298.png,Proliferate_DR
2283,train\No_DR\878e356c8fc9.png,No_DR
3271,train\Proliferate_DR\5b5b80a3edee.png,Proliferate_DR
253,train\Mild\a8c54e2a4b79.png,Mild
85,train\Mild\38b9bb961847.png,Mild
403,train\Moderate\0953c0ac1735.png,Moderate
3003,train\No_DR\e8e44b3160e3.png,No_DR
2974,train\No_DR\e4d3d437b0a8.png,No_DR
1231,train\Moderate\d8cdb7d7283a.png,Moderate
3364,train\Proliferate_DR\a32b5ce3d48a.png,Proliferate_DR
987,train\Moderate\9c088d2d1559.png,Moderate
1756,train\No_DR\3c28fd846b43.png,No_DR
2704,train\No_DR\be521870a0ea.png,No_DR
2960,train\No_DR\e2c3b037413b.png,No_DR
3299,train\Proliferate_DR\6cfb7b44ef6f.png,Proliferate_DR
1145,train\Moderate\c252da9b41d8.png,Moderate
2750,train\No_DR\c58971bcebb2.png,No_DR
1307,train\Moderate\ea4dcb055139.png,Moderate
3480,train\Severe\0edadb2aa127.png,Severe
1126,train\Moderate\bcc762618e7d.png,Moderate
395,train\Moderate\07083738b75e.png,Moderate
39,train\Mild\1a03a7970337.png,Mild
1656,train\No_DR\2c9dfc270f1b.png,No_DR
3197,train\Proliferate_DR\16ce555748d8.png,Proliferate_DR
1871,train\No_DR\4cde86044ad1.png,No_DR
2022,train\No_DR\61da799bf0aa.png,No_DR
667,train\Moderate\467b7d9d811c.png,Moderate
635,train\Moderate\4189d4e631ec.png,Moderate
1050,train\Moderate\a88f68b0b114.png,Moderate
480,train\Moderate\1c578b72d7b3.png,Moderate
1618,train\No_DR\26cd40b57ad1.png,No_DR
226,train\Mild\944a233fbf8e.png,Mild
1403,train\No_DR\06be1092a062.png,No_DR
1929,train\No_DR\537e5c578f40.png,No_DR
1636,train\No_DR\2923971566fe.png,No_DR
426,train\Moderate\0fffa73e2402.png,Moderate
1890,train\No_DR\4ef16a53d899.png,No_DR
800,train\Moderate\67c03349bb31.png,Moderate
1199,train\Moderate\cf0824f53dd9.png,Moderate
1891,train\No_DR\4f5dd7660b17.png,No_DR
121,train\Mild\5090917a2676.png,Mild
100,train\Mild\49386d603494.png,Mild
2289,train\No_DR\883c6a184f16.png,No_DR
2442,train\No_DR\9ce46d400cd6.png,No_DR
3141,train\No_DR\fb88783de055.png,No_DR
3323,train\Proliferate_DR\7d626a7ffe76.png,Proliferate_DR
1210,train\Moderate\d264396d8d1a.png,Moderate
1225,train\Moderate\d81b6ed83bc2.png,Moderate
1157,train\Moderate\c568e5245ea5.png,Moderate
3443,train\Proliferate_DR\eadc57064154.png,Proliferate_DR
1619,train\No_DR\26d60db3bbfd.png,No_DR
655,train\Moderate\44855f666225.png,Moderate
2202,train\No_DR\7ccf9d25dc48.png,No_DR
447,train\Moderate\144b01e7b993.png,Moderate
1177,train\Moderate\ca7570c5925c.png,Moderate
318,train\Mild\d0d59ed675b5.png,Mild
35,train\Mild\18b06f56ab27.png,Mild
2551,train\No_DR\aabd867043cf.png,No_DR
523,train\Moderate\2463bb04ebc3.png,Moderate
1978,train\No_DR\5b32ece9c627.png,No_DR
5,train\Mild\03e25101e8e8.png,Mild
2535,train\No_DR\a95d9d61ddd4.png,No_DR
2952,train\No_DR\e1c02f6c3362.png,No_DR
2799,train\No_DR\cd314653a4d8.png,No_DR
3325,train\Proliferate_DR\7e4019ac7f5a.png,Proliferate_DR
1215,train\Moderate\d3be5346684b.png,Moderate
1114,train\Moderate\b91ef82e723a.png,Moderate
3204,train\Proliferate_DR\1c4f3aa4df06.png,Proliferate_DR
1683,train\No_DR\3132556f5352.png,No_DR
2808,train\No_DR\ceb32a193eff.png,No_DR
3031,train\No_DR\ec6f1797a25a.png,No_DR
435,train\Moderate\12025b34deb8.png,Moderate
2802,train\No_DR\cd66754e1b3b.png,No_DR
295,train\Mild\c56e65f74187.png,Mild
832,train\Moderate\731b19a460ad.png,Moderate
2172,train\No_DR\7828dd083cdc.png,No_DR
1537,train\No_DR\1a19f2ef4472.png,No_DR
1684,train\No_DR\31360e44ac64.png,No_DR
3126,train\No_DR\f90f8931a9bc.png,No_DR
3535,train\Severe\51da6aebba8f.png,Severe
1290,train\Moderate\e6a6acf7fca1.png,Moderate
2863,train\No_DR\d6df4fe492ec.png,No_DR
2557,train\No_DR\ab653b8554c0.png,No_DR
1096,train\Moderate\b402daa0864c.png,Moderate
541,train\Moderate\282bc792d23a.png,Moderate
2218,train\No_DR\7eeb191ad06b.png,No_DR
2250,train\No_DR\8329e80c10ac.png,No_DR
1315,train\Moderate\ed88faaa325a.png,Moderate
738,train\Moderate\55fd453001cc.png,Moderate
747,train\Moderate\58529a8638d0.png,Moderate
1107,train\Moderate\b82d5f1f1145.png,Moderate
940,train\Moderate\8ff2733f6aef.png,Moderate
1625,train\No_DR\27f82ada84ac.png,No_DR
3019,train\No_DR\eabf421f94d0.png,No_DR
995,train\Moderate\9df31421cdd2.png,Moderate
1412,train\No_DR\07e827469099.png,No_DR
954,train\Moderate\92f313287a29.png,Moderate
1099,train\Moderate\b574d229ec4c.png,Moderate
656,train\Moderate\4489d421e5aa.png,Moderate
2742,train\No_DR\c3aa424eff9a.png,No_DR
2048,train\No_DR\66393d8c60ba.png,No_DR
2380,train\No_DR\949710bead24.png,No_DR
3421,train\Proliferate_DR\d85ea1220a03.png,Proliferate_DR
875,train\Moderate\7f84284598f5.png,Moderate
2655,train\No_DR\b77b88926843.png,No_DR
3009,train\No_DR\e9ce5bf645ab.png,No_DR
1389,train\No_DR\0423237770a7.png,No_DR
3487,train\Severe\166068a24416.png,Severe
2669,train\No_DR\b8e9a8f4617d.png,No_DR
3636,train\Severe\dbfd238b3468.png,Severe
1339,train\Moderate\f5e9a307288c.png,Moderate
1454,train\No_DR\0d744aed4d64.png,No_DR
2284,train\No_DR\87a9f4d20f07.png,No_DR
3466,train\Proliferate_DR\fce93caa4758.png,Proliferate_DR
42,train\Mild\1c0cf251b426.png,Mild
2067,train\No_DR\69c4cbb630de.png,No_DR
661,train\Moderate\453a1e2754b2.png,Moderate
1059,train\Moderate\aa5ce75edcf5.png,Moderate
293,train\Mild\c40976189f22.png,Mild
2619,train\No_DR\b21abe5d9722.png,No_DR
1577,train\No_DR\1f31701dd61b.png,No_DR
1008,train\Moderate\a0a0cd8af5a6.png,Moderate
1654,train\No_DR\2c8101f14723.png,No_DR
774,train\Moderate\60e269e3e188.png,Moderate
1733,train\No_DR\384db24ebbd7.png,No_DR
1677,train\No_DR\2fdfb80ea53c.png,No_DR
1778,train\No_DR\4036471a1bb7.png,No_DR
1813,train\No_DR\44878f34e31f.png,No_DR
1849,train\No_DR\4a4cb731f91a.png,No_DR
1142,train\Moderate\c0202976c670.png,Moderate
113,train\Mild\4e0656629d02.png,Mild
1081,train\Moderate\b033ab4fb723.png,Moderate
70,train\Mild\30941b65348b.png,Mild
3401,train\Proliferate_DR\c62585bd68fb.png,Proliferate_DR
2600,train\No_DR\af7a36454670.png,No_DR
1532,train\No_DR\191cf5668f33.png,No_DR
2504,train\No_DR\a61723fc38c2.png,No_DR
2778,train\No_DR\c9e697117f3f.png,No_DR
2478,train\No_DR\a1b28bcbce00.png,No_DR
2464,train\No_DR\a06e5ac695ce.png,No_DR
2883,train\No_DR\d88c4843aec3.png,No_DR
1012,train\Moderate\a15470303941.png,Moderate
1427,train\No_DR\099021fac3c9.png,No_DR
2375,train\No_DR\94076a9fb9b5.png,No_DR
689,train\Moderate\4b422b48d0d4.png,Moderate
2617,train\No_DR\b1c6f0997e27.png,No_DR
2364,train\No_DR\92889b863ae6.png,No_DR
1775,train\No_DR\3fd45879afe6.png,No_DR
3349,train\Proliferate_DR\8fd7ad26e691.png,Proliferate_DR
796,train\Moderate\66d2ca47aa44.png,Moderate
3560,train\Severe\7a6e384a0846.png,Severe
1994,train\No_DR\5d4e5fd34d91.png,No_DR
